ID,Population,Median Age,Unemployment Rate,Median Income,Poverty Rate,Median House Price
CA42,840562,35.6,5.1,7.8,26.5,455800
TX3,913161,37.5,4.0,6.2,54.5,365700
CA22,768917,33.0,6.6,15.2,24.5,298300
IL6,710626,42.1,3.1,4.6,53.2,334200
IN5,791257,38.3,3.5,8.1,47.9,219100
NE1,651958,36.0,3.0,9.6,33.0,182000
NY15,739390,32.1,10.6,34.4,14.6,479100
IL3,702503,40.0,5.8,9.0,31.2,251400
CA39,717176,40.5,4.7,7.4,43.1,685300
IL2,685695,37.9,8.5,17.1,23.3,138500
CT1,703138,40.9,4.9,10.7,38.6,237700
CA9,784956,35.7,6.0,13.4,22.5,409900
WV3,567297,44.2,7.8,18.5,17.0,94100
CA26,725535,38.4,4.2,8.1,35.2,631200
OR4,820504,41.6,5.9,13.8,28.1,280400
TX30,792445,33.0,6.0,18.7,22.4,169200
FL27,750653,42.1,2.7,14.8,41.1,424600
CO5,820255,36.3,5.4,8.9,37.8,318700
NJ11,717657,43.5,4.1,3.8,57.1,467800
MA4,765466,41.1,3.4,6.6,52.0,454500
CA1,711905,41.1,5.6,13.9,25.8,312100
DC1,705749,34.3,6.3,13.5,59.7,646500
WA6,726540,41.9,5.1,8.9,33.0,351000
OH4,712261,41.4,3.7,11.5,20.0,136800
IN2,721469,38.2,3.6,12.4,22.5,141700
NJ12,747082,40.4,6.0,10.9,47.1,361200
GA11,782704,37.6,2.9,9.0,42.8,279500
AZ1,782088,39.0,6.9,18.0,25.2,205700
MN3,730214,39.9,2.5,5.2,50.2,333600
TX23,786712,34.4,3.5,15.5,23.9,158000
IL8,717115,37.3,3.8,8.9,35.0,240300
VA5,735766,43.2,4.0,12.9,29.0,201800
NY20,725669,39.2,4.2,11.6,40.4,225700
NY1,713168,42.3,3.5,7.0,38.3,418000
PR1,713411,43.5,3.9,5.3,42.6,340400
TX20,832518,32.6,5.3,16.3,24.5,165500
CA27,712783,41.5,3.3,8.8,45.9,770100
OK5,825115,35.3,4.4,15.5,31.6,161200
MN8,671346,43.5,3.7,10.6,24.6,190200
VA11,789553,37.0,3.6,6.3,57.2,500100
TX8,895861,37.9,3.6,10.1,30.5,235000
FL3,758939,37.9,5.3,15.6,30.1,188700
CA43,748092,35.4,4.9,14.4,29.7,608300
FL19,833013,52.0,3.8,10.1,33.8,279400
LA2,788021,37.6,7.6,21.6,25.5,172400
HI1,720786,39.1,3.4,7.6,36.7,728900
MA3,771723,39.6,4.5,8.1,38.4,372700
CA2,708434,44.9,4.7,9.8,42.7,694400
NJ9,762322,38.9,4.0,11.5,35.6,392100
PR12,701387,41.1,3.9,12.7,23.8,167400
NY26,703114,38.1,3.8,17.0,31.5,143400
FL22,760953,45.8,4.5,11.2,41.6,348900
TN1,725173,44.0,5.1,16.8,21.9,152600
TX31,916064,35.0,5.7,8.4,36.4,259900
MO5,777659,37.5,3.6,14.3,29.8,151600
MN2,717698,38.1,3.3,5.9,40.7,290200
CA31,753576,34.2,5.2,12.3,25.9,390400
CO2,824050,38.0,3.2,9.8,56.9,489700
TX18,827015,32.4,5.3,19.8,23.0,160900
CA37,733668,35.7,4.4,16.0,40.2,828000
OH12,788335,39.2,3.0,9.2,42.2,246200
LA1,799917,39.1,4.2,14.4,32.2,219900
CA41,786719,31.5,5.6,11.3,17.6,378800
CA35,764643,33.3,4.6,12.6,18.3,423700
CA12,779824,38.0,3.8,9.5,60.9,1226000
CA48,718359,41.0,4.3,7.9,44.6,840200
FL10,811634,36.1,4.3,12.5,32.6,261300
TX6,818442,35.2,4.6,8.7,32.3,222800
NY14,696664,37.8,4.8,12.9,28.2,601000
NE2,684882,35.0,4.1,9.5,42.2,199000
CA29,717659,35.1,4.9,15.9,22.3,565000
MD4,758795,38.0,5.0,7.7,35.6,345700
MO3,802919,39.8,3.2,8.2,28.3,189500
NY17,737355,39.0,4.9,9.1,49.6,496500
IL14,727525,39.8,3.2,4.3,42.6,274900
NY22,688391,41.0,4.3,15.0,26.1,124300
TX11,790264,35.6,3.3,11.6,23.1,164700
TX5,759749,36.4,4.1,13.0,19.8,171600
FL8,780036,48.3,5.6,9.5,30.5,231600
VA7,802921,39.8,3.8,7.9,40.6,282500
TX16,747648,32.4,6.0,18.9,24.5,133300
OR5,844220,39.9,5.8,9.7,32.0,352900
NH2,672976,43.5,2.8,6.8,36.9,265200
HI2,695086,40.0,4.4,11.1,30.3,611600
AZ5,849917,39.3,3.8,6.5,38.3,324400
CA23,741557,35.1,8.1,15.6,22.1,264300
MS4,775679,39.0,8.0,19.4,22.0,146300
CA20,741838,35.6,4.9,12.7,29.7,666600
TX21,829628,38.9,3.1,9.6,47.4,325600
FL7,814980,36.9,3.9,11.7,41.1,274400
GA1,749949,36.6,5.7,14.8,26.3,168500
MD7,717158,39.2,6.1,14.3,40.1,285600
AZ7,853856,30.6,5.5,23.1,15.8,208300
CO4,868302,38.0,3.2,7.6,37.2,400000
IL4,676674,34.0,4.9,12.9,27.8,264900
UT4,850432,31.5,3.7,8.1,33.8,350300
MI5,672466,41.8,7.5,17.4,20.2,112400
TX32,778087,35.3,3.7,9.9,45.3,285900
AL5,735858,39.7,4.3,13.2,33.5,173300
CA34,730042,35.0,5.6,22.1,30.3,688100
NV1,712411,36.4,6.1,20.5,17.6,238000
NY7,698794,34.9,4.8,19.0,36.8,849900
PR13,697051,44.2,3.2,11.0,20.6,160500
AZ6,814971,43.2,3.4,8.6,43.5,387000
CA46,734651,33.8,4.3,12.6,21.1,586500
FL2,720777,42.7,4.7,13.6,24.6,170500
WV1,601811,42.3,5.6,14.8,23.3,133000
DE1,973764,41.4,4.6,11.3,33.2,261700
NY19,701011,45.4,3.7,11.2,31.2,214600
AZ4,825763,48.7,5.4,12.2,21.0,228200
