ID,Population,Median Age,Unemployment Rate,Median Income,Poverty Rate
TX35,857654,33.0,4.1,18.4,25.2
PR16,678333,43.0,4.6,13.5,28.3
NY4,730314,40.4,3.6,5.7,43.6
OR1,858875,38.0,3.8,8.9,40.7
GA8,706237,37.6,5.3,17.3,22.7
MI2,746998,37.3,3.8,10.5,27.5
IA4,749897,38.9,2.8,11.0,25.4
ME1,686731,44.5,3.0,8.9,40.5
CT5,704837,41.9,5.3,11.4,36.1
IL17,666201,40.7,5.9,16.3,20.2
MA7,819035,32.3,4.7,17.0,47.1
WA8,770177,38.3,3.9,7.9,36.8
NY16,739893,40.4,5.7,11.7,40.6
TX10,925348,35.7,4.2,8.1,41.4
TN4,812697,37.8,4.1,12.9,23.8
LA4,737674,38.3,6.1,22.5,19.3
PR18,693858,38.5,5.3,14.1,40.0
CA47,717594,38.2,4.6,13.5,34.1
IA2,782989,39.0,4.1,12.9,28.4
OH2,730151,39.9,4.0,12.8,33.1
TX9,769335,34.4,6.2,20.6,26.5
LA3,785101,36.8,5.2,19.5,23.3
OK4,792928,36.5,4.2,12.5,25.7
MD3,779502,36.8,4.7,7.7,52.2
IL10,706189,38.7,4.1,7.8,44.2
MA5,768043,38.2,3.2,7.7,60.1
CT4,737733,40.0,5.5,9.6,52.6
NJ3,735981,43.5,4.7,5.9,36.0
MN4,719873,36.5,3.3,10.7,44.7
NY2,698974,40.6,2.6,5.9,32.6
IN7,777205,33.9,6.3,16.6,25.0
PR4,730701,41.2,3.3,6.4,48.5
CA38,704515,38.0,4.5,8.9,24.8
PR9,699832,44.2,3.6,9.8,21.3
SC5,738205,40.1,4.8,12.4,26.3
CA16,753152,31.0,9.6,23.0,13.2
TN6,799365,40.9,3.5,12.4,25.0
TX24,832445,35.6,3.2,7.4,48.4
OH3,813890,32.6,5.3,17.8,29.9
AZ8,798544,42.9,4.5,9.1,31.5
KY4,761936,39.7,3.0,11.4,29.0
WV2,623039,42.3,5.0,15.0,22.6
TN2,758519,40.5,3.4,12.7,31.2
NY11,737390,39.8,3.9,10.1,38.1
SC2,722542,39.0,4.7,11.6,35.1
VA10,857693,38.8,2.8,3.5,56.6
UT3,779460,28.7,3.5,9.8,41.9
GA13,802943,35.0,5.2,10.5,29.6
TX19,729664,33.9,2.7,15.6,23.9
AL2,674920,39.0,4.5,16.4,23.5
CO3,756569,40.6,3.8,13.6,33.0
CA33,703908,41.2,4.3,7.7,66.6
VA3,760127,35.1,6.3,14.8,26.5
FL6,790455,48.2,3.8,12.7,24.8
IL18,702289,40.7,4.0,10.2,33.6
FL26,780951,40.3,4.0,13.4,28.5
TX25,818807,37.8,3.9,9.7,40.6
AL1,717438,40.4,5.7,15.4,25.0
TN9,700497,34.1,7.6,20.7,24.2
MI3,752287,37.4,4.5,12.2,32.1
MA8,765516,40.1,3.5,7.8,49.2
CA15,782312,39.2,3.4,5.3,48.0
MA9,748141,45.5,3.9,8.9,37.8
GA3,750998,38.9,4.4,12.3,26.0
VA9,704078,43.7,4.5,17.2,21.9
NY9,720316,37.2,4.6,14.0,40.6
NJ10,761783,36.7,6.9,14.7,32.3
CT3,717989,41.3,6.1,10.8,36.1
GA5,788996,34.0,5.0,18.7,47.4
CA3,755811,35.5,4.8,12.8,27.2
MD2,750702,37.1,5.0,11.9,32.9
FL15,801294,39.4,4.2,12.9,25.8
OH14,714870,43.8,3.8,8.9,33.9
SC3,706961,40.6,4.7,15.1,23.9
MI10,721753,43.7,4.8,8.1,24.9
WA4,735797,34.4,5.9,15.1,22.2
CA5,726072,41.5,3.7,7.8,33.3
CA32,700726,38.9,5.2,11.6,22.3
SC7,740536,44.6,5.1,16.5,22.4
FL17,804754,52.7,4.9,12.7,23.0
MS1,769026,38.3,4.3,14.9,21.5
MO8,736467,40.7,4.8,18.0,17.8
OH6,698284,43.5,4.8,13.4,17.8
FL21,786566,47.0,4.1,10.4,37.1
IL7,727761,35.1,7.1,19.7,44.9
WA10,770391,37.0,5.3,9.8,27.9
NV4,773641,37.3,5.7,11.4,21.1
CA21,729460,29.8,9.3,23.4,10.7
MO6,777104,39.3,3.2,11.2,28.8
NV3,857197,39.7,4.3,8.2,34.6
ME2,657481,45.7,4.0,13.0,25.4
NY8,776825,36.4,4.7,19.8,35.2
TX22,960957,36.7,3.3,5.6,45.4
OH16,719744,43.5,3.1,6.8,35.5
GA14,732133,38.3,4.9,11.7,18.4
AR1,719048,40.1,6.3,18.3,16.2
TX2,787271,35.9,4.6,10.1,44.6
GA9,771168,41.3,3.6,13.0,24.2
LA6,803704,35.7,4.3,13.6,30.2
FL13,731658,47.8,5.2,11.5,33.0
NY27,719554,44.4,3.3,8.1,33.1
MO2,751926,43.3,2.7,5.1,51.8
PR15,672749,44.8,3.9,12.3,20.6
KY1,717704,40.4,4.9,17.7,17.2
UT2,788484,33.4,2.7,10.1,32.2
VA4,768382,37.8,5.2,12.3,30.8
NY25,714657,39.1,4.6,13.0,40.4
NE3,597568,40.2,2.7,10.7,23.7
AR4,701945,41.4,4.6,17.8,17.7
GA12,732810,36.0,5.7,18.3,22.2
NH1,686735,42.5,3.2,7.7,38.2
AZ3,801531,32.1,7.7,16.9,16.6
WA3,756675,39.8,5.0,10.1,27.2
VA6,755012,39.7,3.3,12.2,28.3
SC6,665215,36.9,6.7,23.5,22.9
FL11,813112,56.0,5.6,12.5,23.5
TX1,726094,37.4,4.9,16.7,22.1
PR17,706961,43.5,3.0,7.7,42.5
NY13,751661,35.3,7.6,22.2,32.9
OH10,723716,38.7,5.5,14.4,31.0
IL13,698830,36.8,5.3,17.9,31.3
IL9,719256,40.3,3.6,9.7,55.7
MI7,710064,42.2,4.1,10.9,26.7
MI12,704912,36.4,4.0,15.2,34.9
NV2,736907,39.6,4.5,11.0,27.3
NY18,718624,39.7,3.0,9.7,36.2
PR5,719973,38.6,5.8,11.4,39.2
OH15,769664,38.8,3.4,10.6,34.7
IL5,739401,35.8,2.8,8.1,56.8
AL6,699605,39.9,3.3,9.5,38.5
KS2,715881,38.5,3.5,12.3,29.4
OH1,749773,36.7,4.5,12.4,37.9
OH7,727011,41.4,3.5,10.9,21.1
PR3,741654,33.6,7.9,21.8,40.6
WA2,760064,38.9,4.4,9.0,33.4
MS3,738992,38.4,5.1,18.9,26.5
NJ1,726825,39.2,5.2,10.0,33.4
AK1,731545,35.0,5.8,10.1,30.2
IL16,694262,41.2,5.0,11.2,23.5
WA1,791545,38.8,3.5,6.3,45.3
CA52,767151,36.8,3.6,8.1,61.0
FL1,798305,38.8,4.9,12.5,26.9
MN5,724373,34.5,4.0,13.7,48.3
ID1,934826,38.8,2.7,9.4,27.2
FL14,831508,36.4,4.2,14.5,38.5
MD5,756743,39.1,4.3,6.6,34.3
TX4,782743,39.1,3.7,13.3,23.6
CA10,764859,34.8,6.6,11.8,18.0
PR6,735283,39.3,4.0,8.5,46.7
AR2,767662,38.0,3.7,14.6,29.5
RI1,530066,39.3,4.3,12.2,34.2
CA50,758142,37.6,4.4,11.7,30.9
TX33,751182,30.6,5.9,20.1,13.1
ND1,762062,35.5,2.6,10.6,30.4
IA1,774014,39.2,3.8,11.6,27.6
TX15,804562,31.8,5.6,22.3,21.2
CA28,693299,40.0,5.5,12.6,48.1
CO7,808543,36.3,3.8,8.5,36.2
FL24,754731,37.3,5.0,17.8,20.4
TN5,778094,35.0,3.8,11.9,43.0
SC1,821107,39.8,3.3,8.8,40.9
CO6,828201,36.7,3.7,6.6,44.0
CO1,852816,35.3,3.0,10.8,52.1
FL5,742643,34.7,6.2,21.9,20.4
TN7,800536,38.2,4.3,11.0,32.1
FL20,802463,36.9,7.2,17.0,20.8
FL9,931872,38.0,4.1,13.4,25.6
CA36,755764,43.1,7.2,15.5,24.2
CA44,717140,33.5,7.1,14.4,14.9
NY5,759001,39.7,6.2,9.9,25.9
NJ5,734764,43.9,3.6,5.0,50.6
AR3,829149,36.2,4.8,14.6,29.0
CA6,781943,33.9,5.7,15.5,29.6
MI8,740750,39.0,4.5,9.6,42.2
IN1,719122,39.9,5.4,12.9,23.2
WI3,723169,39.2,2.9,11.4,27.0
TX17,786023,33.3,3.6,16.9,32.3
WI4,704146,32.8,4.9,20.3,29.3
CA53,782599,35.8,6.0,9.9,40.5
MA6,770998,43.0,3.6,6.6,47.4
MN6,729029,37.3,3.0,6.3,32.5
FL12,811308,46.5,4.3,11.0,28.4
IN9,765896,38.4,3.3,11.5,27.1
MA2,759750,40.3,4.2,9.5,40.7
MO4,775664,37.1,4.0,14.8,26.0
MO1,727772,36.0,5.2,16.4,33.5
OH5,721212,39.8,3.8,9.0,28.0
NJ2,707255,42.8,5.9,10.4,27.2
LA5,734377,38.3,5.5,23.4,18.2
WA9,751595,36.3,4.0,8.7,44.6
MI13,672291,35.3,8.5,26.1,16.0
PR2,722722,35.7,8.3,25.4,22.6
MN1,679003,38.3,2.4,9.3,31.1
CA25,718949,37.2,4.5,10.3,28.2
AZ2,733197,41.5,4.7,13.1,35.3
NY12,725760,36.2,2.8,10.0,72.5
TX27,745526,36.7,5.0,16.8,20.1
WI7,714544,45.0,2.9,9.9,24.4
NJ8,766357,35.1,3.8,14.7,35.3
VA1,824492,39.3,3.9,7.9,37.8
WI8,736079,40.8,2.9,9.0,27.2
IL11,721594,37.2,4.1,8.0,37.5
GA7,844773,36.2,3.0,8.2,45.0
CA11,765504,39.8,4.2,8.7,44.8
VA2,723927,36.9,4.1,8.5,37.7
GA4,782142,36.5,5.2,11.2,30.7
WI2,773663,37.2,2.2,10.1,44.9
MI4,702887,41.8,4.8,13.5,23.4
NY21,694835,41.5,4.4,14.4,24.7
OK3,782091,37.0,3.4,15.1,23.7
CA45,791311,39.3,3.2,8.9,56.6
WI1,721691,40.9,4.3,8.7,30.5
